Feedback about different aspects of college life,How satisfied are you with the cleanliness and maintenance of the hostel rooms? ,How would you rate the knowledge and teaching methods of the faculty members. ,How satisfied are you with the availability and accessibility of library resources? ,"How safe do you feel on campus, especially during the evening or night hours? "
The college provides an excellent environment for academic growth.,3,2,2,2
The faculty seems unapproachable and unhelpful at times.,1,3,4,1
"While the faculty is decent, the overall infrastructure could use an upgrade.",4,4,5,1
"The campus facilities are top-notch, and extracurriculars are abundant.",2,2,5,5
"The infrastructure is poor, and basic facilities are lacking.",1,3,4,3
"The college is average, with some good and bad aspects.",1,4,1,5
"Hostel facilities are well-maintained, but food quality needs attention.",5,5,2,4
"Safety on campus is a major concern, especially after dark.",3,4,1,4
The college ensures students have access to all necessary resources.,3,4,3,5
The extracurricular opportunities are excellent.,1,2,2,3
Library resources are adequate but could use more digital content.,3,4,2,4
The faculty members are highly knowledgeable and supportive.,2,2,4,1
Campus safety is well-maintained with proper security.,5,5,2,3
The food quality in the hostel mess is very poor.,4,4,3,5
"Extracurricular activities are okay, but nothing exceptional.",4,5,3,5
The college doesn't provide enough extracurricular opportunities.,2,1,4,1
More efforts are required to improve student support services.,4,2,1,5
The college provides a great balance between academics and extracurriculars.,4,4,5,2
Faculty members are very knowledgeable and approachable.,2,2,1,5
"The hostel facilities are acceptable, but theres room for improvement.",5,5,5,2
Decent College Facilities,4,3,4,1
Beautiful Campus,1,4,2,5
The faculty is very supportive and approachable.,4,4,4,5
The faculty is very supportive and approachable.,5,3,2,4
"Campus safety needs to be prioritized, especially at night.",4,2,1,2
Food quality in the hostel/mess could be improved.,2,3,2,3
Food quality in the hostel/mess could be improved.,5,1,1,1
Extracurricular activities are abundant and engaging.,4,3,4,2
The college provides an excellent environment for learning.,2,1,2,4
The library resources are very helpful and comprehensive.,2,5,2,2
Classroom facilities are outdated and need renovation.,4,3,1,5
The library resources are very helpful and comprehensive.,5,2,3,5
The library resources are very helpful and comprehensive.,2,3,5,1
Classroom facilities are outdated and need renovation.,4,3,5,2
The faculty is very supportive and approachable.,1,5,3,5
The library resources are very helpful and comprehensive.,2,3,2,5
"While the infrastructure is good, the management needs improvement.",1,4,2,4
"While the infrastructure is good, the management needs improvement.",1,5,4,4
"While the infrastructure is good, the management needs improvement.",2,4,1,4
The faculty is very supportive and approachable.,1,1,4,1
"Campus safety needs to be prioritized, especially at night.",1,2,1,4
Extracurricular activities are abundant and engaging.,5,3,3,2
Extracurricular activities are abundant and engaging.,5,2,4,5
The library resources are very helpful and comprehensive.,2,2,3,5
The faculty is very supportive and approachable.,4,2,5,3
Extracurricular activities are abundant and engaging.,5,2,3,1
The college provides an excellent environment for learning.,5,1,2,1
The library resources are very helpful and comprehensive.,1,5,3,5
Extracurricular activities are abundant and engaging.,2,3,1,5
Food quality in the hostel/mess could be improved.,3,1,5,1
Food quality in the hostel/mess could be improved.,4,5,4,4
The campus lacks proper cleanliness and maintenance.,2,2,2,2
The campus lacks proper cleanliness and maintenance.,5,2,2,2
The library resources are very helpful and comprehensive.,1,5,5,5
Student support services are responsive and accessible.,1,3,2,3
The faculty is very supportive and approachable.,5,3,3,2
The college provides an excellent environment for learning.,2,5,1,3
Student support services are responsive and accessible.,2,1,3,2
The library resources are very helpful and comprehensive.,5,1,2,2
Student support services are responsive and accessible.,5,4,3,4
The faculty is very supportive and approachable.,1,3,5,5
The faculty is very supportive and approachable.,5,1,4,5
The college provides an excellent environment for learning.,4,5,4,2
The college provides an excellent environment for learning.,3,1,1,1
Food quality in the hostel/mess could be improved.,1,3,2,3
The college provides an excellent environment for learning.,3,3,1,2
Extracurricular activities are abundant and engaging.,3,4,4,4
The library resources are very helpful and comprehensive.,5,4,3,5
Student support services are responsive and accessible.,3,1,4,3
The faculty is very supportive and approachable.,1,3,2,2
The library resources are very helpful and comprehensive.,5,4,4,5
The campus lacks proper cleanliness and maintenance.,4,1,2,5
Classroom facilities are outdated and need renovation.,3,4,4,1
Food quality in the hostel/mess could be improved.,1,2,1,2
"While the infrastructure is good, the management needs improvement.",2,3,1,3
Student support services are responsive and accessible.,2,2,1,4
The college provides an excellent environment for learning.,2,1,4,4
Classroom facilities are outdated and need renovation.,5,4,2,5
"While the infrastructure is good, the management needs improvement.",5,3,2,5
Classroom facilities are outdated and need renovation.,2,3,1,5
"Campus safety needs to be prioritized, especially at night.",3,1,4,1
"While the infrastructure is good, the management needs improvement.",4,4,1,3
Classroom facilities are outdated and need renovation.,5,2,1,1
"Campus safety needs to be prioritized, especially at night.",1,3,4,2
The campus lacks proper cleanliness and maintenance.,3,5,3,2
"While the infrastructure is good, the management needs improvement.",3,4,5,1
Student support services are responsive and accessible.,1,3,2,4
Food quality in the hostel/mess could be improved.,1,4,4,1
The library resources are very helpful and comprehensive.,3,3,1,2
Extracurricular activities are abundant and engaging.,1,3,5,1
The library resources are very helpful and comprehensive.,1,4,1,3
The faculty is very supportive and approachable.,3,4,3,5
The college provides an excellent environment for learning.,1,1,3,1
"While the infrastructure is good, the management needs improvement.",3,4,2,4
"Campus safety needs to be prioritized, especially at night.",4,2,3,3
The library resources are very helpful and comprehensive.,2,4,1,2
The library resources are very helpful and comprehensive.,4,5,4,3
Student support services are responsive and accessible.,5,5,2,3
The faculty is very supportive and approachable.,2,4,3,4
The college provides an excellent environment for learning.,2,2,5,4
Extracurricular activities are abundant and engaging.,1,3,1,4
The library resources are very helpful and comprehensive.,5,3,4,1
The campus lacks proper cleanliness and maintenance.,1,2,2,4
The college provides an excellent environment for learning.,3,1,5,2
Extracurricular activities are abundant and engaging.,2,1,2,4
The college provides an excellent environment for learning.,2,1,2,4
The faculty is very supportive and approachable.,4,4,1,1
Food quality in the hostel/mess could be improved.,4,5,4,4
Extracurricular activities are abundant and engaging.,1,4,5,5
Student support services are responsive and accessible.,5,3,4,2
The faculty is very supportive and approachable.,5,2,5,1
The library resources are very helpful and comprehensive.,1,3,3,5
Student support services are responsive and accessible.,2,4,1,5
Classroom facilities are outdated and need renovation.,5,4,1,3
Student support services are responsive and accessible.,4,4,4,4
"Campus safety needs to be prioritized, especially at night.",2,2,5,3
The faculty is very supportive and approachable.,2,4,1,1
The library resources are very helpful and comprehensive.,5,5,5,4
Student support services are responsive and accessible.,1,2,1,5
Student support services are responsive and accessible.,4,5,2,2
The faculty is very supportive and approachable.,2,4,3,1
The college provides an excellent environment for learning.,2,1,1,5
There are frequent guest lectures and seminars that broaden students' knowledge.,3,2,2,2
"Library resources are extensive, but it would be beneficial if there were more digital resources available.",1,3,4,1
"The diversity of the student body is a major positive, exposing everyone to new perspectives.",4,4,5,1
The student health center is responsive and provides necessary services promptly.,2,2,5,5
"The college cafeteria offers a wide variety of food options, though prices could be more student-friendly.",1,3,4,3
"Professors are passionate about their subjects, making lectures engaging and informative.",1,4,1,5
"The campus shuttle service is convenient, though schedules could be more frequent during peak times.",5,5,2,4
The mentorship programs connect students well with industry professionals.,3,4,1,4
"Student clubs are well-organized and inclusive, providing something for everyone.",3,4,3,5
The student health center is responsive and provides necessary services promptly.,1,2,2,3
Campus events are vibrant and foster a strong sense of community among students.,3,4,2,4
"The college cafeteria offers a wide variety of food options, though prices could be more student-friendly.",2,2,4,1
"The sports facilities are top-notch, though access could be improved for students who aren't on teams.",5,5,2,3
"Professors are passionate about their subjects, making lectures engaging and informative.",4,4,3,5
Campus events are vibrant and foster a strong sense of community among students.,4,5,3,5
